catalog_version,market,job_type,scope_level,flat_rate_usd,notes
2026-Q2-v1.1,austin,plumbing,simple,85,"< 45 min (e.g. faucet drip, toilet running, disposal jam, outdoor hose bib)"
2026-Q2-v1.1,austin,plumbing,standard,145,"45 min – 2 hr (e.g. faucet replace, toilet clog, sink drain, leak under sink)"
2026-Q2-v1.1,austin,plumbing,complex,225,"2–4 hr (e.g. water heater repair, main drain, pipe leak)"
2026-Q2-v1.1,austin,electrical,simple,79,"< 45 min (e.g. outlet replace, switch replace, dimmer, GFCI)"
2026-Q2-v1.1,austin,electrical,standard,135,"45 min – 2 hr (e.g. ceiling fan install, thermostat install, half outlets out)"
2026-Q2-v1.1,austin,electrical,complex,215,"2–4 hr (e.g. breaker tripping, circuit trace, panel diagnostic)"
2026-Q2-v1.1,austin,drywall,simple,65,"< 45 min (e.g. small wall crack, nail pops, hairline crack)"
2026-Q2-v1.1,austin,drywall,standard,125,"45 min – 2 hr (e.g. hole from doorknob or TV mount, tape bubbling, corner bead)"
2026-Q2-v1.1,austin,drywall,complex,195,"2–4 hr (e.g. large dent, water stain on ceiling, multiple-area repair)"
2026-Q2-v1.1,austin,appliance,simple,89,"< 45 min (e.g. disposal reset, dishwasher drain reset, ice maker check)"
2026-Q2-v1.1,austin,appliance,standard,149,"45 min – 2 hr (e.g. dryer slow, washer leak, microwave not spinning)"
2026-Q2-v1.1,austin,appliance,complex,235,"2–4 hr (e.g. refrigerator cooling, oven not heating, range hood diagnostic)"
2026-Q2-v1.1,austin,door_window,simple,75,"< 45 min (e.g. hinge squeak, knob wobbly, screen door, latch)"
2026-Q2-v1.1,austin,door_window,standard,129,"45 min – 2 hr (e.g. deadbolt, new lock install, sliding door, dragging door)"
2026-Q2-v1.1,austin,door_window,complex,199,"2–4 hr (e.g. frame alignment, multi-door work)"
2026-Q2-v1.1,austin,handyman,simple,55,"< 45 min (e.g. picture hanging, towel bar, curtain rod, weatherstripping, caulk)"
2026-Q2-v1.1,austin,handyman,standard,95,"45 min – 2 hr (e.g. blinds install, furniture assembly, cabinet hinge, baby proofing)"
2026-Q2-v1.1,austin,handyman,complex,155,"2–4 hr (e.g. multi-room punch list, complex assembly)"
2026-Q2-v1.1,dallas,plumbing,simple,89,"< 45 min (e.g. faucet drip, toilet running, disposal jam, outdoor hose bib)"
2026-Q2-v1.1,dallas,plumbing,standard,149,"45 min – 2 hr (e.g. faucet replace, toilet clog, sink drain, leak under sink)"
2026-Q2-v1.1,dallas,plumbing,complex,235,"2–4 hr (e.g. water heater repair, main drain, pipe leak)"
2026-Q2-v1.1,dallas,electrical,simple,85,"< 45 min (e.g. outlet replace, switch replace, dimmer, GFCI)"
